[2017-01-30 18:58:03] START
[2017-01-30 18:58:46] DELETE CuisineArena/controllers/default.py: -41
[2017-01-30 19:00:00] CREATE welcome.py: 0
[2017-01-30 19:00:39] CREATE welcome/landingpage.html: 0
[2017-01-30 19:01:22] EDIT CuisineArena/controllers/welcome.py: 0
[2017-01-30 19:16:05] CREATE results.py: 0
[2017-01-30 19:16:35] EDIT CuisineArena/controllers/results.py: 0
[2017-01-30 19:17:10] EDIT CuisineArena/controllers/welcome.py: 0
[2017-01-30 19:18:09] CREATE results/list.html: 0
[2017-01-30 19:19:01] EDIT CuisineArena/controllers/results.py: 1
[2017-01-30 19:22:34] CREATE resultsmodel.py: 0
[2017-01-30 19:25:26] EDIT CuisineArena/views/results/list.html: 2
[2017-01-30 19:26:02] EDIT CuisineArena/views/results/list.html: 0
[2017-01-30 19:32:41] EDIT CuisineArena/views/results/list.html: 0
[2017-01-30 19:34:48] CREATE results/restaurant.html: 0
[2017-01-30 19:35:02] EDIT CuisineArena/views/results/restaurant.html: 0
[2017-01-30 19:35:34] EDIT CuisineArena/controllers/results.py: 1
[2017-01-30 19:35:43] EDIT CuisineArena/controllers/results.py: 2
[2017-01-30 19:37:33] EDIT CuisineArena/views/results/list.html: 0
[2017-01-30 19:37:39] EDIT CuisineArena/views/results/list.html: 0
[2017-01-30 19:38:08] EDIT CuisineArena/views/results/list.html: 0
[2017-01-30 19:43:01] EDIT CuisineArena/views/results/list.html: 0
[2017-01-30 19:44:24] EDIT CuisineArena/views/results/restaurant.html: 0
[2017-01-30 19:44:47] EDIT CuisineArena/controllers/results.py: 1
[2017-01-30 19:45:03] EDIT CuisineArena/controllers/results.py: 0
[2017-01-30 19:46:42] EDIT CuisineArena/controllers/results.py: 1
[2017-01-30 19:47:13] EDIT CuisineArena/views/results/list.html: 0
[2017-01-30 19:47:37] EDIT CuisineArena/controllers/results.py: 1
[2017-01-30 19:48:30] EDIT CuisineArena/controllers/results.py: 1
[2017-01-30 19:48:34] EDIT CuisineArena/controllers/results.py: 0
[2017-01-30 19:48:47] EDIT CuisineArena/controllers/results.py: -3
[2017-01-30 19:48:49] EDIT CuisineArena/controllers/results.py: -1
[2017-01-30 19:48:58] EDIT CuisineArena/controllers/results.py: 0
[2017-01-30 19:49:24] EDIT CuisineArena/views/results/list.html: 0
[2017-01-30 19:50:24] EDIT CuisineArena/views/results/restaurant.html: 1
[2017-01-30 19:50:48] EDIT CuisineArena/views/results/restaurant.html: 0
[2017-01-30 19:51:01] EDIT CuisineArena/views/results/restaurant.html: 0
[2017-01-30 19:51:10] EDIT CuisineArena/views/results/restaurant.html: 0
[2017-01-30 19:52:23] EDIT CuisineArena/controllers/results.py: 0
[2017-01-30 19:53:06] EDIT CuisineArena/views/results/restaurant.html: 0
[2017-01-30 19:53:45] EDIT CuisineArena/views/results/restaurant.html: 1
[2017-01-30 19:54:18] EDIT CuisineArena/views/results/restaurant.html: 0
[2017-01-30 19:54:33] EDIT CuisineArena/views/results/restaurant.html: 1
[2017-01-30 19:56:00] EDIT CuisineArena/views/results/restaurant.html: -1
[2017-01-30 19:56:42] EDIT CuisineArena/views/results/list.html: 0
[2017-01-30 19:58:47] EDIT CuisineArena/controllers/results.py: 1
[2017-01-30 19:59:29] EDIT CuisineArena/controllers/results.py: 2
[2017-01-30 20:03:32] EDIT CuisineArena/controllers/results.py: 0
[2017-01-30 20:14:58] EDIT CuisineArena/controllers/results.py: 4
[2017-01-31 17:33:15] EDIT CuisineArena/views/results/restaurant.html.1: 0
[2017-02-05 21:19:13] EDIT CuisineArena/models/db.py: 3
[2017-02-05 21:28:19] EDIT CuisineArena/controllers/cuisinearena.py: 2
[2017-02-05 21:28:42] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 21:29:13] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 21:29:18] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 21:29:46] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 21:29:57] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 21:30:01] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 21:30:05] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 21:30:09] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 21:31:09] EDIT CuisineArena/controllers/cuisinearena.py: -1
[2017-02-05 21:31:25] EDIT CuisineArena/controllers/cuisinearena.py: -1
[2017-02-05 21:31:55] EDIT CuisineArena/controllers/cuisinearena.py: 1
[2017-02-05 21:32:22] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 21:32:24] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 21:32:32] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 21:32:55] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 21:33:37] EDIT CuisineArena/controllers/cuisinearena.py: 1
[2017-02-05 21:34:47] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 21:35:52] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 21:36:36] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 21:36:38] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 21:39:45] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 22:46:50] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 22:47:05] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 22:52:08] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 22:53:09] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 22:54:20] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 22:54:37] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 22:54:44] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 22:55:03] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 22:55:31] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 22:56:01] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 22:56:08] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 22:56:26] EDIT CuisineArena/controllers/cuisinearena.py: 1
[2017-02-05 22:56:31] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 22:56:41] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 22:59:28] EDIT CuisineArena/controllers/cuisinearena.py: 3
[2017-02-05 22:59:45] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 22:59:55] EDIT CuisineArena/controllers/cuisinearena.py: 1
[2017-02-05 22:59:58] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 23:00:02] EDIT CuisineArena/controllers/cuisinearena.py: -1
[2017-02-05 23:00:13] EDIT CuisineArena/controllers/cuisinearena.py: -3
[2017-02-05 23:02:03] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 23:02:49] EDIT CuisineArena/views/cuisinearena/arena.html: 6
[2017-02-05 23:05:14] EDIT CuisineArena/views/cuisinearena/arena.html: 4
[2017-02-05 23:05:24] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:07:40] EDIT CuisineArena/controllers/cuisinearena.py: 2
[2017-02-05 23:07:50] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 23:08:02] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:09:21] EDIT CuisineArena/views/cuisinearena/arena.html: -2
[2017-02-05 23:09:45] EDIT CuisineArena/views/cuisinearena/arena.html: -1
[2017-02-05 23:09:47] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:10:14] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:10:18] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:11:47] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:12:11] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:12:48] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:15:07] EDIT CuisineArena/views/cuisinearena/arena.html: 1
[2017-02-05 23:26:46] EDIT CuisineArena/views/cuisinearena/arena.html: 3
[2017-02-05 23:26:47] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:27:23] EDIT CuisineArena/views/cuisinearena/arena.html: 1
[2017-02-05 23:32:08] EDIT CuisineArena/controllers/cuisinearena.py: -1
[2017-02-05 23:37:44] EDIT CuisineArena/views/cuisinearena/arena.html: 4
[2017-02-05 23:38:00] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:38:06] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:38:10] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:38:14] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:38:38] EDIT CuisineArena/views/cuisinearena/arena.html: 1
[2017-02-05 23:39:36] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:39:57] EDIT CuisineArena/views/cuisinearena/arena.html: -4
[2017-02-05 23:40:01] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:41:03] EDIT CuisineArena/views/cuisinearena/arena.html: -4
[2017-02-05 23:41:44] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:42:00] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:42:16] EDIT CuisineArena/views/cuisinearena/arena.html: -2
[2017-02-05 23:43:18] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:43:49] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:44:35] EDIT CuisineArena/views/cuisinearena/arena.html: 1
[2017-02-05 23:44:50] EDIT CuisineArena/views/cuisinearena/arena.html: -1
[2017-02-05 23:44:52] EDIT CuisineArena/views/cuisinearena/arena.html: -1
[2017-02-05 23:45:01] EDIT CuisineArena/views/cuisinearena/arena.html: 6
[2017-02-05 23:45:04] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:45:09] EDIT CuisineArena/views/cuisinearena/arena.html: -1
[2017-02-05 23:45:13] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:45:19] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:45:24] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:45:29] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:45:55] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:46:27] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-05 23:47:51] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:48:03] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:48:27] EDIT CuisineArena/controllers/cuisinearena.py: 1
[2017-02-05 23:48:33] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:48:51] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:49:03] EDIT CuisineArena/views/cuisinearena/arena.html: -2
[2017-02-05 23:49:06] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:51:55] EDIT CuisineArena/views/cuisinearena/arena.html: 10
[2017-02-05 23:52:08] EDIT CuisineArena/views/cuisinearena/arena.html: 3
[2017-02-05 23:52:17] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:54:25] EDIT CuisineArena/views/cuisinearena/arena.html: 11
[2017-02-05 23:54:29] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:54:36] EDIT CuisineArena/views/cuisinearena/arena.html: -4
[2017-02-05 23:55:15] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:56:32] EDIT CuisineArena/views/cuisinearena/arena.html: 7
[2017-02-05 23:56:43] EDIT CuisineArena/views/cuisinearena/arena.html: -3
[2017-02-05 23:56:50] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:57:15] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:57:19] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:57:26] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:58:11] EDIT CuisineArena/views/cuisinearena/arena.html: 3
[2017-02-05 23:58:18] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:58:22] EDIT CuisineArena/views/cuisinearena/arena.html: -1
[2017-02-05 23:58:40] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:59:28] EDIT CuisineArena/views/cuisinearena/arena.html: 4
[2017-02-05 23:59:42] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-05 23:59:49] EDIT CuisineArena/views/cuisinearena/arena.html: -1
[2017-02-05 23:59:52] EDIT CuisineArena/views/cuisinearena/arena.html: -1
[2017-02-06 00:00:29] EDIT CuisineArena/views/cuisinearena/arena.html: -12
[2017-02-06 00:00:56] EDIT CuisineArena/views/cuisinearena/arena.html: 1
[2017-02-06 00:01:07] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:01:21] EDIT CuisineArena/views/cuisinearena/arena.html: -4
[2017-02-06 00:01:27] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:01:48] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:02:07] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:02:15] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:02:31] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:02:56] EDIT CuisineArena/views/cuisinearena/arena.html: 1
[2017-02-06 00:03:03] EDIT CuisineArena/views/cuisinearena/arena.html: 1
[2017-02-06 00:03:07] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:04:51] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:06:17] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-06 00:06:20] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-06 00:06:22] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-06 00:06:24] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-06 00:06:32] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-06 00:07:01] EDIT CuisineArena/controllers/cuisinearena.py: -1
[2017-02-06 00:08:14] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:09:00] EDIT CuisineArena/views/cuisinearena/arena.html: 3
[2017-02-06 00:09:28] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:09:44] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:10:59] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:11:09] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:11:18] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:11:31] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:11:45] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:12:39] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:12:47] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:12:49] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:13:12] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:13:35] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:14:15] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:14:27] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:14:30] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:14:34] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:18:20] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 00:50:38] EDIT CuisineArena/views/cuisinearena/arena.html: -2
[2017-02-06 00:51:13] EDIT CuisineArena/views/cuisinearena/arena.html: 2
[2017-02-06 13:36:08] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 13:36:22] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 13:36:30] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 13:36:49] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 13:36:52] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 13:37:13] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 13:37:31] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 13:37:34] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 13:38:00] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 13:38:02] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 13:38:20] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 13:38:49] EDIT CuisineArena/views/cuisinearena/arena.html: 1
[2017-02-06 13:38:56] EDIT CuisineArena/views/cuisinearena/arena.html: 1
[2017-02-06 13:39:17] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 13:39:36] EDIT CuisineArena/views/cuisinearena/arena.html: 1
[2017-02-06 13:39:41] EDIT CuisineArena/views/cuisinearena/arena.html: 1
[2017-02-06 13:39:57] EDIT CuisineArena/views/cuisinearena/arena.html: -4
[2017-02-06 13:40:05] EDIT CuisineArena/views/cuisinearena/arena.html: -4
[2017-02-06 13:57:37] EDIT CuisineArena/controllers/cuisinearena.py: 0
[2017-02-06 13:58:45] EDIT CuisineArena/views/cuisinearena/arena.html: 5
[2017-02-06 13:59:02] EDIT CuisineArena/views/cuisinearena/arena.html: 1
[2017-02-06 13:59:06] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 13:59:38] EDIT CuisineArena/views/cuisinearena/arena.html: 3
[2017-02-06 13:59:45] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 13:59:51] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 13:59:57] EDIT CuisineArena/views/cuisinearena/arena.html: -1
[2017-02-06 14:00:56] EDIT CuisineArena/views/cuisinearena/arena.html: 1
[2017-02-06 14:01:08] EDIT CuisineArena/views/cuisinearena/arena.html: 1
[2017-02-06 14:01:10] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 14:01:15] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 14:02:21] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 14:02:27] EDIT CuisineArena/views/cuisinearena/arena.html: 0
[2017-02-06 14:04:20] EDIT CuisineArena/controllers/cuisinearena.py: 17
